league,season,team,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,player,weekly wage,yearly salary
ENG-Premier League,2425,Aston Villa,FRA,DF,25,1998,4.0,4,2,3,1,0,0,2,0.0,2,3,1,2,5,9,16,0,Axel Disasi,78000.0,4056000.0
ENG-Premier League,2425,Aston Villa,BRA,DF,25,1993,9.2,8,3,6,1,1,4,6,66.7,2,13,7,6,5,13,36,2,Diego Carlos,100000.0,5200000.0
ENG-Premier League,2425,Aston Villa,ENG,DF,25,1997,24.1,28,16,17,7,4,16,20,80.0,4,16,9,7,19,47,80,2,Ezri Konsa,92000.0,4784000.0
ENG-Premier League,2425,Aston Villa,NED,DF,25,2002,6.9,15,8,7,6,2,8,14,57.1,6,5,0,5,9,24,23,2,Ian Maatsen,11000.0,572000.0
ENG-Premier League,2425,Aston Villa,SRB,DF,25,2005,1.4,7,5,1,3,3,2,3,66.7,1,1,0,1,0,7,3,0,Kosta Nedeljković,,
ENG-Premier League,2425,Aston Villa,NED,"DF,MF",25,2004,5.3,14,6,6,6,2,10,16,62.5,6,5,3,2,1,15,13,0,Lamare Bogarde,,
ENG-Premier League,2425,Aston Villa,FRA,DF,25,1993,22.9,55,31,32,15,8,38,56,67.9,18,22,4,18,25,80,74,1,Lucas Digne,130000.0,6760000.0
ENG-Premier League,2425,Aston Villa,POL,"DF,FW",25,1997,15.5,40,23,22,16,2,18,28,64.3,10,16,5,11,18,58,38,2,Matty Cash,69000.0,3588000.0
ENG-Premier League,2425,Aston Villa,ESP,DF,25,1997,17.2,18,13,11,6,1,9,14,64.3,5,13,9,4,6,24,49,2,Pau Torres,120000.0,6240000.0
ENG-Premier League,2425,Aston Villa,ENG,DF,25,1993,8.7,6,5,5,1,0,2,2,100.0,0,12,10,2,5,11,44,1,Tyrone Mings,72000.0,3744000.0
ENG-Premier League,2425,Bournemouth,ENG,DF,25,1991,11.5,16,8,8,4,4,9,19,47.4,10,9,2,7,11,27,37,1,Adam Smith,33000.0,1716000.0
ENG-Premier League,2425,Bournemouth,ESP,DF,25,2005,17.8,27,19,12,14,1,13,21,61.9,8,32,24,8,40,67,121,3,Dean Huijsen,,
ENG-Premier League,2425,Bournemouth,UKR,DF,25,2002,25.3,40,26,21,18,1,26,37,70.3,11,30,19,11,28,68,128,2,Illia Zabarnyi,46000.0,2392000.0
ENG-Premier League,2425,Bournemouth,ENG,DF,25,2002,4.6,13,6,6,5,2,3,9,33.3,6,3,0,3,9,22,27,0,James Hill,,
ENG-Premier League,2425,Bournemouth,MEX,DF,25,2001,3.9,7,3,3,4,0,4,10,40.0,6,3,0,3,4,11,13,0,Julian Araujo,,
ENG-Premier League,2425,Bournemouth,ENG,"MF,DF",25,1997,25.6,66,37,34,30,2,31,58,53.4,27,23,7,16,36,102,51,0,Lewis Cook,35000.0,1820000.0
ENG-Premier League,2425,Bournemouth,ARG,DF,25,1997,10.2,33,21,21,10,2,13,26,50.0,13,14,6,8,11,44,42,0,Marcos Senesi,44000.0,2288000.0
ENG-Premier League,2425,Bournemouth,ENG,DF,25,2000,1.0,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0,Max Aarons,34000.0,1768000.0
ENG-Premier League,2425,Bournemouth,HUN,DF,25,2003,27.2,38,21,18,15,5,17,30,56.7,13,29,9,20,34,72,81,2,Milos Kerkez,,
ENG-Premier League,2425,Brentford,ENG,DF,25,1989,2.0,2,2,0,2,0,1,1,100.0,0,3,3,0,4,6,7,0,Ben Mee,43000.0,2236000.0
ENG-Premier League,2425,Brentford,ENG,DF,25,1989,2.0,2,2,0,2,0,1,1,100.0,0,3,3,0,4,6,7,0,Ben Mee,43000.0,2236000.0
ENG-Premier League,2425,Brentford,JAM,DF,25,1993,19.3,33,17,14,15,4,13,22,59.1,9,27,16,11,24,57,126,3,Ethan Pinnock,32000.0,1664000.0
